Received Log:

[9 дек. 2017 г. 8:42:31] ASCII:
13416,0,0,-1,-1,-1,0,-1,-1,0,b23,1,0.07,14,1
13417,0,0,-1,-1,-1,0,-1,-1,0,keycowboys,,,,
13542,13494,0,-1,-1,-1,0,-1,-1,0,b23,0,0.14,14,2
18102,18042,0,-1,-1,-1,0,-1,-1,0,catchBall,,,,
19359,19359,0,-1,-1,-1,0,-1,-1,0,b21,1,0.05,20,1
19386,19359,0,-1,-1,-1,0,-1,-1,0,redsWin,0,,,
19393,19393,0,1,6,2,-1,-1,-1,0,newxy,,,,
19637,19614,19393,1,6,2,-1,-1,-1,0,b21,0,0.10,20,2
21111,21087,19393,1,6,2,-1,-1,-1,0,b24,1,0.05,22,1
21114,21113,19393,1,5,2,-1,6,2,-1,newxy,,,,
21305,21298,21113,1,5,2,-1,6,2,-1,b24,0,0.09,22,2
21426,21425,21113,1,4,2,-1,5,2,-1,newxy,,,,
21667,21655,21425,1,4,2,-1,5,2,-1,b11,1,0.05,22,1
21733,21733,21425,1,3,2,-1,4,2,-1,newxy,,,,
21873,21861,21733,1,3,2,-1,4,2,-1,b11,0,0.09,22,2
21993,21988,21733,1,3,2,-1,4,2,-1,b21,1,0.14,22,3
22033,22014,21733,1,3,2,-1,4,2,-1,b11,1,0.13,23,3
22042,22041,21733,1,2,2,-1,3,2,-1,newxy,,,,
22178,22155,22041,1,2,2,-1,3,2,-1,b11,0,0.17,23,4
22198,22182,22041,1,2,2,-1,3,2,-1,b21,0,0.17,23,4
22362,22362,22041,1,1,2,-1,2,2,-1,newxy,,,,
22502,22490,22362,1,1,2,-1,2,2,-1,b11,1,0.22,23,5
22516,22515,22362,1,1,2,-1,2,2,-1,greensFortune,9.25,3,0.00,
22610,22603,22362,1,1,2,1,2,2,-1,b21,1,0.22,23,5
22690,22679,22362,1,1,2,1,2,2,-1,b11,0,0.26,23,6
22831,22808,22362,1,1,2,1,2,2,-1,b21,0,0.26,23,6
23416,23393,22362,1,1,2,1,2,2,-1,b24,1,0.13,24,3
23517,23495,22362,1,1,2,1,2,2,-1,b24,0,0.17,24,4
