Received Log:

[9 дек. 2017 г. 8:29:53] ASCII:
314278,0,0,-1,-1,-1,0,-1,-1,0,b24,1,0.07,15,1
314280,0,0,-1,-1,-1,0,-1,-1,0,keycowboys,,,,
314387,314358,0,-1,-1,-1,0,-1,-1,0,b24,0,0.13,15,2
318966,318908,0,-1,-1,-1,0,-1,-1,0,catchBall,,,,
320386,320386,0,-1,-1,-1,0,-1,-1,0,b21,1,0.05,21,1
320412,320386,0,-1,-1,-1,0,-1,-1,0,redsWin,0,,,
320424,320424,0,1,6,2,-1,-1,-1,0,newxy,,,,
320731,320723,320424,1,6,2,-1,-1,-1,0,b21,0,0.10,21,2
322145,322120,320424,1,6,2,-1,-1,-1,0,b24,1,0.13,23,3
322148,322147,320424,1,5,2,-1,6,2,-1,newxy,,,,
322344,322337,322147,1,5,2,-1,6,2,-1,b24,0,0.17,23,4
322465,322464,322147,1,4,2,-1,5,2,-1,newxy,,,,
322771,322770,322464,1,3,2,-1,4,2,-1,newxy,,,,
323078,323077,322770,1,2,2,-1,3,2,-1,newxy,,,,
323384,323384,323077,1,1,2,-1,2,2,-1,newxy,,,,
323690,323690,323384,1,0,2,-1,1,2,-1,newxy,,,,
323692,323690,323690,1,0,2,-1,1,2,-1,goalFortune,8.00,1,0.00,0.00
323745,323743,323690,1,0,2,-1,1,2,-1,redsScore,0,1,,
323822,323822,323690,1,5,2,1,0,2,-1,newxy,,,,
324955,324945,323822,1,5,2,1,0,2,-1,b11,1,0.04,25,1
325338,325326,323822,1,5,2,1,0,2,-1,b11,0,0.08,26,2
329418,329411,323822,1,5,2,1,0,2,-1,b11,1,0.10,30,3
329801,329792,323822,1,5,2,1,0,2,-1,b11,0,0.13,30,4
330245,330224,323822,1,5,2,1,0,2,-1,b11,1,0.16,31,5
330729,330707,323822,1,5,2,1,0,2,-1,b11,0,0.19,31,6
332405,332383,323822,1,5,2,1,0,2,-1,b14,1,0.03,33,1
332410,332409,323822,1,6,2,1,5,2,1,newxy,,,,
332581,332569,332409,1,6,2,1,5,2,1,b14,0,0.06,33,2
332724,332723,332409,1,7,2,1,6,2,1,newxy,,,,
333030,333029,332723,1,8,2,1,7,2,1,newxy,,,,
333336,333335,333029,1,9,2,1,8,2,1,newxy,,,,
333434,333413,333335,1,9,2,1,8,2,1,b14,1,0.09,34,3
333595,333592,333335,1,9,2,1,8,2,1,b14,0,0.12,34,4
333645,333644,333335,1,10,2,1,9,2,1,newxy,,,,
333925,333900,333644,1,10,2,1,9,2,1,b21,1,0.09,34,3
333927,333926,333644,1,10,2,1,9,2,1,redsFortune,1.09,-1,0.00,
334005,334004,333644,1,11,2,1,10,2,1,newxy,,,,
334029,334004,334004,1,11,2,1,10,2,1,goalFortune,7.00,-2,0.00,0.00
334102,334099,334004,1,11,2,1,10,2,1,greensScore,1,1,,
334181,334180,334004,1,6,2,-1,11,2,1,newxy,,,,
334907,334900,334180,1,6,2,-1,11,2,1,b21,0,0.11,35,4
335552,335535,334180,1,6,2,-1,11,2,1,b21,1,0.14,36,5
335753,335738,334180,1,6,2,-1,11,2,1,b21,0,0.17,36,6
336034,336017,334180,1,6,2,-1,11,2,1,b24,1,0.14,37,5
336045,336044,334180,1,5,2,-1,6,2,-1,newxy,,,,
336251,336251,336044,1,5,2,-1,6,2,-1,b24,0,0.16,37,6
336354,336354,336044,1,4,2,-1,5,2,-1,newxy,,,,
336454,336432,336354,1,4,2,-1,5,2,-1,b11,1,0.19,37,7
336661,336660,336354,1,3,2,-1,4,2,-1,newxy,,,,
336678,336660,336660,1,3,2,-1,4,2,-1,b12,1,0.03,37,1
336739,336714,336660,1,3,2,-1,4,2,-1,b11,0,0.22,37,8
336970,336970,336660,1,2,2,-1,3,2,-1,newxy,,,,
337008,336997,336970,1,2,2,-1,3,2,-1,b12,0,0.05,38,2
337028,337024,336970,1,2,2,-1,3,2,-1,b15,1,0.03,38,1
337145,337126,336970,1,2,2,-1,3,2,-1,b13,1,0.03,38,1
337205,337203,336970,1,2,2,-1,3,2,-1,b15,0,0.05,38,2
337281,337281,336970,1,1,2,-1,2,2,-1,newxy,,,,
