Received Log:

[15 дек. 2017 г. 20:08:54] ASCII:
254304,0,0,-1,-1,-1,0,-1,-1,0,b24,1,0.07,15,1
254306,0,0,-1,-1,-1,0,-1,-1,0,keycowboys,,,,
254393,254385,0,-1,-1,-1,0,-1,-1,0,b24,0,0.13,15,2
259888,259701,0,-1,-1,-1,0,-1,-1,0,catchBall,,,,
260984,260984,0,-1,-1,-1,0,-1,-1,0,b24,1,0.14,21,3
261125,261125,0,-1,-1,-1,0,-1,-1,0,b24,0,0.18,22,4
261468,261468,0,-1,-1,-1,0,-1,-1,0,b21,1,0.05,22,1
261494,261468,0,-1,-1,-1,0,-1,-1,0,redsWin,0,,,
261507,261506,0,1,6,2,-1,-1,-1,0,newxy,,,,
261772,261754,261506,1,6,2,-1,-1,-1,0,b21,0,0.09,22,2
262155,262136,261506,1,6,2,-1,-1,-1,0,b24,1,0.22,23,5
262163,262162,261506,1,5,2,-1,6,2,-1,newxy,,,,
262253,262246,262162,1,5,2,-1,6,2,-1,b24,0,0.26,23,6
262475,262474,262162,1,4,2,-1,5,2,-1,newxy,,,,
262781,262780,262474,1,3,2,-1,4,2,-1,newxy,,,,
262920,262909,262780,1,3,2,-1,4,2,-1,b24,1,0.30,23,7
263000,262986,262780,1,3,2,-1,4,2,-1,b24,0,0.35,23,8
263090,263089,262780,1,2,2,-1,3,2,-1,newxy,,,,
263107,263089,263089,1,2,2,-1,3,2,-1,b14,1,0.04,24,1
263288,263270,263089,1,2,2,-1,3,2,-1,b14,0,0.08,24,2
263399,263398,263089,1,1,2,-1,2,2,-1,newxy,,,,
263458,263451,263398,1,1,2,-1,2,2,-1,b21,1,0.13,24,3
263497,263477,263398,1,1,2,-1,2,2,-1,b14,1,0.13,24,3
263617,263605,263398,1,1,2,-1,2,2,-1,b14,0,0.17,24,4
263696,263681,263398,1,1,2,-1,2,2,-1,b21,0,0.17,24,4
263707,263706,263398,1,0,2,-1,1,2,-1,newxy,,,,
263736,263706,263706,1,0,2,-1,1,2,-1,goalFortune,2.00,1,0.00,0.00
263805,263804,263706,3,0,2,-1,1,2,-1,goalLine,,,,
264358,264357,263804,1,1,2,1,0,2,-1,newxy,,,,
265005,264993,264357,1,1,2,1,0,2,-1,b21,1,0.19,26,5
265226,265224,264357,1,1,2,1,0,2,-1,b21,0,0.23,26,6
268457,268445,264357,1,1,2,1,0,2,-1,b21,1,0.24,29,7
268679,268676,264357,1,1,2,1,0,2,-1,b21,0,0.28,29,8
268941,268930,264357,1,1,2,1,0,2,-1,b21,1,0.31,29,9
269061,269058,264357,1,1,2,1,0,2,-1,b21,0,0.33,30,10
269322,269312,264357,1,1,2,1,0,2,-1,b14,1,0.17,30,5
269338,269337,264357,1,2,2,1,1,2,1,newxy,,,,
269497,269485,269337,1,2,2,1,1,2,1,b14,0,0.20,30,6
269638,269637,269337,1,3,2,1,2,2,1,newxy,,,,
269799,269792,269637,1,3,2,1,2,2,1,b21,1,0.37,30,11
269945,269945,269637,1,4,2,1,3,2,1,newxy,,,,
270006,269998,269945,1,4,2,1,3,2,1,b21,0,0.39,31,12
270254,270253,269945,1,5,2,1,4,2,1,newxy,,,,
270394,270382,270253,1,5,2,1,4,2,1,b21,1,0.42,31,13
270561,270561,270253,1,6,2,1,5,2,1,newxy,,,,
270578,270561,270561,1,6,2,1,5,2,1,b21,0,0.45,31,14
270820,270817,270561,1,6,2,1,5,2,1,b21,1,0.48,31,15
270844,270843,270561,1,6,2,1,5,2,1,redsFortune,3.70,0,0.00,
270898,270897,270561,1,7,2,1,6,2,1,newxy,,,,
270996,270996,270897,1,7,2,1,6,2,1,b21,0,0.52,31,16
271200,271199,270897,1,8,2,1,7,2,1,newxy,,,,
271506,271506,271199,1,9,2,1,8,2,1,newxy,,,,
271665,271660,271506,1,9,2,1,8,2,1,b21,1,0.53,32,17
271813,271812,271506,1,10,2,1,9,2,1,newxy,,,,
272119,272118,271812,1,11,2,1,10,2,1,newxy,,,,
272121,272118,272118,1,11,2,1,10,2,1,goalFortune,4.00,-1,0.00,0.00
272174,272174,272118,3,11,2,1,10,2,1,goalLine,,,,
272552,272174,272174,1,11,2,1,10,2,1,b21,0,0.55,33,18
272727,272727,272174,1,10,2,-1,11,2,1,newxy,,,,
273473,273464,272727,1,10,2,-1,11,2,1,b14,1,0.21,34,7
273593,273591,272727,1,10,2,-1,11,2,1,b14,0,0.24,34,8
275714,275696,272727,1,10,2,-1,11,2,1,b21,1,0.53,36,19
275995,275977,272727,1,10,2,-1,11,2,1,b21,0,0.56,36,20
279025,279021,272727,1,10,2,-1,11,2,1,b24,1,0.22,40,9
279049,279048,272727,1,9,2,-1,10,2,-1,newxy,,,,
279372,279371,279048,1,8,2,-1,9,2,-1,newxy,,,,
279678,279677,279371,1,7,2,-1,8,2,-1,newxy,,,,
279777,279755,279677,1,7,2,-1,8,2,-1,b24,0,0.25,40,10
279987,279986,279677,1,6,2,-1,7,2,-1,newxy,,,,
280084,280064,279986,1,6,2,-1,7,2,-1,b11,1,0.02,41,1
280204,280190,279986,1,6,2,-1,7,2,-1,b25,1,0.02,41,1
280263,280242,279986,1,6,2,-1,7,2,-1,b11,0,0.05,41,2
280295,280294,279986,1,5,2,-1,6,2,-1,newxy,,,,
280420,280404,280294,1,5,2,-1,6,2,-1,b25,0,0.05,41,2
280581,280557,280294,1,5,2,-1,6,2,-1,b11,1,0.07,41,3
280586,280584,280294,1,5,2,-1,6,2,-1,greensFortune,0.03,-3,0.00,
280665,280664,280294,1,4,2,-1,5,2,-1,newxy,,,,
